t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2001,41.10826,50.02155,28.68455,15.30331,17.69205,14.42508,12.18057,8.02882,4.959125,8.479836,39.41848,24.54159,23.00256,16.33794,13.91561,17.56038,15.63331,6.090188,24.49337,19.70614,9.65688,9.558264,27.62746,45.60427,10.81374,6.936188
2002,41.89298,50.23598,28.71631,15.45094,17.62369,13.75026,12.29947,8.107743,4.972079,8.629902,39.5791,25.20131,23.39079,16.88795,14.02429,17.84066,15.88219,6.102068,25.52014,20.53619,9.742457,9.615451,27.77148,46.23981,10.8387,7.020267
2003,42.48066,50.64222,28.86667,15.42533,17.71284,13.95165,12.36182,8.074405,4.970126,8.812428,39.75629,25.76347,24.41158,17.58669,14.10981,18.10712,15.80994,6.163317,25.40752,21.28344,9.870321,9.658222,27.82137,47.0303,10.85037,7.0396
2004,43.17306,51.06403,29.55002,15.69479,17.48096,14.67768,12.44717,8.157882,4.999321,9.295172,40.00686,26.55747,25.59536,18.35451,14.21528,18.55855,16.09898,6.22274,25.39664,22.38158,10.05017,9.740989,28.04648,48.29448,10.87946,7.069451
2005,44.01021,51.44783,30.12785,16.14769,17.81453,15.45406,12.57375,8.171518,5.048323,9.842672,40.21002,27.19089,26.45991,19.67663,14.36077,19.04445,16.17189,6.330666,25.95396,23.6427,10.20232,9.806613,28.23899,49.24172,10.93919,7.13602
2006,44.93881,51.85389,30.82979,16.34187,18.24158,16.34384,12.73326,8.188085,5.101698,10.58579,40.44283,27.83708,26.92983,20.92084,14.54311,19.59435,16.25438,6.429471,26.52135,25.15952,10.35338,9.859998,28.53293,49.63003,10.97781,7.175478
2007,44.6346,51.67944,31.34194,16.62893,19.21474,17.46112,12.90982,8.260998,5.149432,11.26355,40.67539,29.07958,27.33672,22.4812,14.72329,20.30072,16.72592,6.520844,27.14536,26.65421,10.52353,9.961026,28.55382,50.28331,11.01475,7.298367
2008,44.82556,51.16818,31.78577,17.08627,20.00218,19.35723,13.51161,8.321546,5.225846,11.42723,40.88456,29.75927,26.94305,23.5872,14.58273,20.56092,17.56562,6.574975,27.09995,29.56345,10.90605,10.11667,29.15221,50.07925,11.15829,7.646476
2009,45.6228,50.81334,30.47158,16.63584,19.9607,18.90915,14.25099,8.500414,5.218852,11.06869,40.56416,28.61738,26.29878,21.82913,14.59011,20.80994,19.2309,6.730082,26.72468,30.86098,10.88695,10.20364,29.22239,50.25713,11.12999,7.801483
2010,44.84159,51.17193,30.81321,16.63093,20.61687,18.99271,14.04297,8.4014,5.22928,11.87889,40.59111,28.92332,27.15729,22.60523,14.49354,20.84543,17.91957,6.933597,27.37838,32.23364,11.08491,10.3569,29.54065,51.22256,11.2069,7.809768
