t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2009,57.91258,64.29114,38.8982,21.70473,24.97001,23.97189,18.74561,11.30754,7.08858,14.44286,51.87077,37.3376,33.98933,28.25037,19.43238,26.82388,24.90068,9.07776,34.25267,40.91213,14.5289,13.5731,37.88784,63.29031,15.02046,10.47176
2010,56.91003,64.69913,39.31327,21.68739,25.74956,24.06136,18.46593,11.16873,7.100486,15.49155,51.88272,37.72884,35.07727,29.24394,19.30259,26.86835,23.19084,9.349716,35.07727,42.69267,14.78525,13.77371,38.29227,64.47633,15.11849,10.47703
2011,56.98678,64.64552,40.84113,21.68586,27.32422,26.48061,18.2967,11.3775,7.162435,16.58834,52.18341,38.47552,37.58286,30.29481,19.82493,27.49288,23.31548,9.616943,35.81793,46.68717,15.38257,14.0927,38.08458,65.03602,15.22775,10.65568
2012,57.40553,64.8736,41.65536,21.7312,27.40555,27.74229,18.81394,11.62787,7.116134,17.20192,51.97812,38.67625,37.70807,30.45127,20.11946,28.09819,23.17598,9.766841,35.78119,47.78024,15.63584,14.36404,38.29833,66.02325,15.3208,10.7444
2013,57.20483,65.12424,41.60634,21.85133,27.61872,28.50961,18.86043,11.73481,7.165539,17.66288,51.93649,38.94437,38.23441,30.51846,20.34785,28.5146,23.22044,9.938554,36.28266,48.9938,15.86769,14.61931,38.82482,65.84919,15.36873,10.86734
2014,57.38937,65.38081,41.77578,21.97764,27.33564,28.6175,18.81748,11.82373,7.214398,17.95606,52.09011,39.46095,38.52532,29.9845,20.48283,28.91819,23.42534,10.15004,36.85877,50.07229,16.07717,14.84983,39.02055,65.96562,15.44273,10.96999
2015,58.09023,65.55325,42.16228,22.25545,27.74885,29.45765,19.12323,11.96308,7.252923,18.27175,52.34186,39.85905,39.13902,30.36373,20.7309,29.4597,23.97171,10.32951,37.57988,51.22647,16.40405,15.13071,39.32924,66.33635,15.51493,11.06918
2016,58.75175,65.78833,42.54198,22.55704,28.33523,30.22344,19.53553,12.11424,7.327908,18.77225,52.66784,40.39998,39.72039,30.76783,20.98059,29.98573,24.51918,10.53897,38.31448,52.10476,16.77294,15.4594,39.63224,66.73188,15.61013,11.19357
2017,59.37424,66.01366,42.92783,22.86229,28.93672,31.00477,19.98209,12.26936,7.40671,19.31779,52.98712,40.95998,40.30696,31.2325,21.23704,30.51997,25.04843,10.76307,39.05385,52.81186,17.15659,15.81242,39.93007,67.12422,15.7097,11.32282
2018,59.96075,66.22935,43.31903,23.17129,29.55276,31.80024,20.43472,12.42856,7.48951,19.9091,53.2991,41.53772,40.89813,31.73601,21.5025,31.06915,25.55455,11.00231,39.79521,53.38363,17.55451,16.18836,40.22217,67.50896,15.81383,11.45711
2019,60.51142,66.43614,43.71478,23.48019,30.18295,32.60871,20.89318,12.59168,7.576495,20.54841,53.60265,42.13202,41.49331,32.28014,21.7763,31.63731,26.03888,11.25761,40.53748,53.85083,17.96655,16.58642,40.5084,67.88075,15.92272,11.59662
2020,61.02361,66.63882,44.10418,23.78745,30.82751,33.42617,21.35651,12.75909,7.667869,21.21904,53.89407,42.74493,42.09187,32.88567,22.0614,32.23057,26.50802,11.53158,41.27423,54.24379,18.38987,17.00196,40.78863,68.24168,16.03616,11.74153
